Variable,Difference,CI_lower,CI_upper,Cohens_d
Public_prop,0.32160714285714287,0.2867801339285714,0.3577243303571428,1.1219778880116973
HCV_active,0.017857142857142856,0.004464285714285714,0.04017857142857143,0.13453864360541257
Recept_sharing,0.00638392857142857,-0.028583705357142865,0.044302455357142854,0.023504299177628273
Injections,0.013392857142857142,-0.08035714285714286,0.12053571428571429,0.018492997614422024
Treatment,0.0,0.0,0.0,0.0
Partner_HCV_prop,0.0,0.0,0.0,0.0
Alt_route,0.0,0.0,0.0,0.0
Partners,-0.017857142857142856,-0.05803571428571429,0.022321428571428572,-0.056945475115488316
Drug_out,-0.8108482142857143,-2.495816964285714,0.3924408482142857,-0.07003861375114341
Withdrawal,-0.12357142857142857,-0.34734040178571435,0.05892745535714281,-0.08044409866166216
